"id","title","collection","pillar","account","state","evidence_requirement","durability"
"BANK-018","A confidence label needs a basis","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-019","The difference between earlier detection and earlier useful interpretation","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-020","Inspection should precede acceptance","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-021","A material update changes an existing situation","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-022","Decision value should survive removal of the AI label","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-023","Why adverse change can create an opportunity elsewhere","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-024","What makes a consequence path transferable","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-025","What was public before the award?","AS-OF / historical","AS-OF / What Was Knowable","Founder or company according to evidence object","IDEA — evidence and draft not yet created","archived source version demonstrably available at cutoff; explicit publication, capture and assessment times","durable principle; recheck case and source before publication"
"BANK-026","Announcement date versus effective date","AS-OF / historical","AS-OF / What Was Knowable","Founder or company according to evidence object","IDEA — evidence and draft not yet created","archived source version demonstrably available at cutoff; explicit publication, capture and assessment times","durable principle; recheck case and source before publication"
"BANK-027","Capture date versus publication date","AS-OF / historical","AS-OF / What Was Knowable","Founder or company according to evidence object","IDEA — evidence and draft not yet created","archived source version demonstrably available at cutoff; explicit publication, capture and assessment times","durable principle; recheck case and source before publication"
"BANK-028","Why an overwritten page cannot prove historical state","AS-OF / historical","AS-OF / What Was Knowable","Founder or company according to evidence object","IDEA — evidence and draft not yet created","archived source version demonstrably available at cutoff; explicit publication, capture and assessment times","durable principle; recheck case and source before publication"
"BANK-029","Build an evidence timeline before writing a retrospective","AS-OF / historical","AS-OF / What Was Knowable","Founder or company according to evidence object","IDEA — evidence and draft not yet created","archived source version demonstrably available at cutoff; explicit publication, capture and assessment times","durable principle; recheck case and source before publication"
"BANK-030","Preserve the version available at the decision date","AS-OF / historical","AS-OF / What Was Knowable","Founder or company according to evidence object","IDEA — evidence and draft not yet created","archived source version demonstrably available at cutoff; explicit publication, capture and assessment times","durable principle; recheck case and source before publication"
"BANK-031","How a correction changes a historical conclusion","AS-OF / historical","AS-OF / What Was Knowable","Founder or company according to evidence object","IDEA — evidence and draft not yet created","archived source version demonstrably available at cutoff; explicit publication, capture and assessment times","durable principle; recheck case and source before publication"
"BANK-032","An outcome is not evidence that the earlier thesis was reasonable","AS-OF / historical","AS-OF / What Was Knowable","Founder or company according to evidence object","IDEA — evidence and draft not yet created","archived source version demonstrably available at cutoff; explicit publication, capture and assessment times","durable principle; recheck case and source before publication"
"BANK-033","Separate hindsight from an available precursor","AS-OF / historical","AS-OF / What Was Knowable","Founder or company according to evidence object","IDEA — evidence and draft not yet created","archived source version demonstrably available at cutoff; explicit publication, capture and assessment times","durable principle; recheck case and source before publication"
"BANK-034","What was unknown at the cutoff?","AS-OF / historical","AS-OF / What Was Knowable","Founder or company according to evidence object","IDEA — evidence and draft not yet created","archived source version demonstrably available at cutoff; explicit publication, capture and assessment times","durable principle; recheck case and source before publication"
"BANK-035","Compare two dates without changing the denominator","AS-OF / historical","AS-OF / What Was Knowable","Founder or company according to evidence object","IDEA — evidence and draft not yet created","archived source version demonstrably available at cutoff; explicit publication, capture and assessment times","durable principle; recheck case and source before publication"
"BANK-036","Show the gap between source availability and assessment","AS-OF / historical","AS-OF / What Was Knowable","Founder or company according to evidence object","IDEA — evidence and draft not yet created","archived source version demonstrably available at cutoff; explicit publication, capture and assessment times","durable principle; recheck case and source before publication"
"BANK-037","An obligation is not a contract ceiling","Evidence / provenance","Evidence & Provenance","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-038","A deobligation does not establish termination","Evidence / provenance","Evidence & Provenance","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-039","A proposal is not a final rule","Evidence / provenance","Evidence & Provenance","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-040","An award is not recognized revenue","Evidence / provenance","Evidence & Provenance","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-041","A parent brand is not an awardee legal entity","Evidence / provenance","Evidence & Provenance","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-042","Corroboration requires source independence","Evidence / provenance","Evidence & Provenance","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-043","Source failure is not a negative finding","Evidence / provenance","Evidence & Provenance","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-044","A reused press release is one evidence chain","Evidence / provenance","Evidence & Provenance","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-045","Show the passage that supports the claim","Evidence / provenance","Evidence & Provenance","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-046","Resolve identifiers before drawing a relationship","Evidence / provenance","Evidence & Provenance","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-047","Evidence rights travel with the derivative","Evidence / provenance","Evidence & Provenance","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-048","A chart needs its denominator and as-of date","Evidence / provenance","Evidence & Provenance","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-049","Register the failure condition before the outcome","Falsification / outcome","Falsification & Outcome","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-050","An unresolved thesis stays unresolved","Falsification / outcome","Falsification & Outcome","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-051","No observed effect is different from proven no effect","Falsification / outcome","Falsification & Outcome","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-052","What a rejected consequence taught us","Falsification / outcome","Falsification & Outcome","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-053","Grade the reasoning and the result separately","Falsification / outcome","Falsification & Outcome","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-054","Publish a correction with the original claim attached","Falsification / outcome","Falsification & Outcome","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-055","Do not hide censored or unobservable outcomes","Falsification / outcome","Falsification & Outcome","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-056","A failed thesis can improve the next materiality decision","Falsification / outcome","Falsification & Outcome","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-057","Why Pyrnova Origins initiate downstream analysis","Product philosophy","Evidence & Provenance","Company","IDEA — evidence and draft not yet created","verify against accepted authority and approved current product demonstration","semi-durable; recheck current product"
"BANK-058","Why observed facts and assessments remain separate","Product philosophy","Evidence & Provenance","Company","IDEA — evidence and draft not yet created","verify against accepted authority and approved current product demonstration","semi-durable; recheck current product"
"BANK-059","What an inspectable evidence object contains","Product philosophy","Evidence & Provenance","Company","IDEA — evidence and draft not yet created","verify against accepted authority and approved current product demonstration","semi-durable; recheck current product"
"BANK-060","Why source health belongs beside a conclusion","Product philosophy","Evidence & Provenance","Company","IDEA — evidence and draft not yet created","verify against accepted authority and approved current product demonstration","semi-durable; recheck current product"
"BANK-061","Why historical state is retained after an update","Product philosophy","Evidence & Provenance","Company","IDEA — evidence and draft not yet created","verify against accepted authority and approved current product demonstration","semi-durable; recheck current product"
"BANK-062","How the workflow records monitoring, dismissal and action","Product philosophy","Evidence & Provenance","Company","IDEA — evidence and draft not yet created","verify against accepted authority and approved current product demonstration","semi-durable; recheck current product"
"BANK-063","Budget request, authorization and appropriation are different states","Commercial intelligence education","Pyrnova Origin","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-064","A vehicle change matters differently to primes and partners","Commercial intelligence education","Pyrnova Origin","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-065","Agency intent is not an executable acquisition","Commercial intelligence education","Pyrnova Origin","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-066","An incumbent change needs an entity and program check","Commercial intelligence education","Pyrnova Origin","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-067","A protest creates a process question before a revenue conclusion","Commercial intelligence education","Pyrnova Origin","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-068","Contract modification codes require contextual interpretation","Commercial intelligence education","Pyrnova Origin","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-069","An acquisition can change the buyer boundary","Commercial intelligence education","Pyrnova Origin","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-070","Compare adjacent opportunities against actual capabilities","Commercial intelligence education","Pyrnova Origin","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-071","Why a spending table is not a pursuit recommendation","Commercial intelligence education","Pyrnova Origin","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
"BANK-072","Define the commercial question before searching","Commercial intelligence education","Pyrnova Origin","Founder or company according to evidence object","IDEA — evidence and draft not yet created","named primary-source passage; claim-to-source map; rights check; uncertainty and failure condition","durable principle; recheck case and source before publication"
